log_death_rate,State,Deep_Pov_All,PovertyAllAgesPct,PerCapitaInc,UnempRate2019,PctEmpFIRE,PctEmpConstruction,PctEmpTrans,PctEmpMining,PctEmpTrade,PctEmpInformation,PctEmpAgriculture,PctEmpManufacturing,PctEmpServices,PopDensity2010,OwnHomePct,Age65AndOlderPct2010,TotalPop25Plus,Under18Pct2010,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,ForeignBornPct,Net_International_Migration_Rate_2010_2019,NetMigrationRate1019,NaturalChangeRate1019,TotalPopEst2019,WhiteNonHispanicPct2010,Type_2015_Update,RuralUrbanContinuumCode2013,UrbanInfluenceCode2013,Perpov_1980_0711,HiCreativeClass2000,HiAmenity,Retirement_Destination_2015_Update
-7.44921628418698,MD,3.169923069,6.6,39696,3.6,5.046728972,8.162414751,5.279110887,0.066936095,11.64814347,1.663298813,0.223541298,2.822682496,46.37408436,320.16,76.49678908,9.45,105078,26.53,31.38906336,24.30765717,8.502255467,28.91090428,6.04042595,0.841,5.864,5.075,163257,48.38,0,1,1,0,1,0,0
-8.42542245467234,MD,7.429182255,15.4,30135,4.8,4.760339273,6.081925176,3.866131896,0.249852061,14.24814255,1.768689592,3.596554672,11.67729634,46.77493589,60.32,67.43063932,17.69,23253,21.67,39.42717069,20.801617,5.943319142,20.75861179,3.434487462,0.997,-1.86,-0.462,31929,66.16,0,6,5,0,0,0,0
-7.63041888147428,MD,3.185832714,6.2,41432,3.2,6.40450634,7.89217624,3.303737039,0.107945389,11.73868094,2.488065193,0.905372944,5.928634415,52.24100708,353.5,74.8088179,11.1,168435,25.3,24.26217829,19.18188025,8.278564431,40.62813548,10.63339129,2.11,6.74,4.074,259547,77.83,0,1,1,0,1,0,0
-10.2756026809627,MD,3.536585366,12.2,27980,4.4,7.055482744,12.0503859,6.20358235,1.776612786,10.03349352,2.133391583,2.803261978,6.523955148,45.98077763,46.51,78.01706287,17.38,21372,22.13,43.8096575,16.41867864,8.965000936,20.09170878,1.058687364,0.096,-2.711,-1.028,29014,97.28,5,6,7,0,0,0,0
-8.18807469471935,MD,3.942933134,7,39365,3.3,6.508706159,6.657423473,4.449900855,0.10534143,14.54099021,1.478652869,0.416718305,6.386324204,48.94116371,560.13,78.47158202,12.48,173422,24.67,26.56814014,21.99836238,8.403778067,35.78669373,5.589483119,0.927,1.853,2.308,255441,79.24,4,1,1,0,1,0,0
-7.92302280401619,MD,2.638820089,5.2,52586,2.7,6.19820779,4.299529767,3.069825215,0.038446751,9.76843226,2.26599237,0.269127259,4.68754621,57.82568834,1144.95,73.1618363,10.12,212511,26.01,13.95221894,14.45572229,5.730056326,61.37894038,21.11014915,3.786,6.998,5.843,325690,59.21,0,1,1,0,1,0,0
-6.65538886899102,MD,6.549342838,12.9,34910,4,4.838185951,4.29700184,3.463578309,0,13.50795541,0.660244615,5.953025219,10.87780063,50.63318541,72.91,69.25410872,21.77,13929,17.57,28.58783832,18.95326298,6.28903726,34.16612822,4.256622263,0.242,0.262,-4.176,19422,78.15,5,6,4,0,1,0,1
-7.15321725411085,MD,3.201139131,6.9,52828,2.9,6.670226134,5.81685282,2.81431625,0.017977108,8.874579111,2.756429962,0.195411163,2.804608611,58.76285139,1978.15,65.43634041,12.32,714495,24.03,13.27860937,13.59477673,5.353291486,59.02350611,32.31163707,7.283,1.213,6.483,1050688,49.27,4,1,1,0,1,0,0
-7.043378782623,MD,4.195077243,8.3,35869,3.8,4.795336718,8.470603893,6.261034848,0.01476512,10.09372732,2.053807425,0.088382762,2.04091394,52.60146861,1788.76,62.02448446,9.44,611092,23.86,25.65391136,22.15312915,6.06111682,32.66611247,22.44885798,5.214,-1.684,6.636,909327,14.92,4,1,1,0,1,0,0
-7.53157222956885,MD,2.080006551,6.5,42077,3.1,6.084480674,9.875580171,2.835524006,0.042903389,12.23136628,1.665431569,3.186551738,6.90354538,46.9051055,128.52,81.79413709,14.94,34843,23.8,29.56117441,19.20902333,8.489510088,34.85348564,4.23057441,0.657,4.211,1.176,50381,87.31,5,1,1,0,1,0,0
